date;descripcionEs;descriptionEu;municipalityEs;MunicipalityEu;territory;municipalitycode;latwgs84;lonwgs84
08/05/2026;Otxomaio;Otxomaio;Urduña-Orduña  ;Urduña-Orduña  ;Bizkaia;74.0;42.994.449;-3.009.622
30/11/2026;San Andrés;San Andres Eguna;Usansolo;Usansolo;Bizkaia;916.0;4.323.173;-284.004
06/08/2026;Transfiguración del Señor-día de San Salvador;Jainkoaren Itxuraldaketa Eguna-San Sabaltore Eguna;Valle de Trápaga-Trapagaran  ;Valle de Trápaga-Trapagaran  ;Bizkaia;80.0;43.303.108;-3.035.548
03/07/2026;Fiesta local;Tokiko jai-eguna;Zaldibar  ;Zaldibar  ;Bizkaia;95.0;4.317.097;-254.713
05/10/2026;Día de Gangas;Gangas Eguna;Zalla  ;Zalla  ;Bizkaia;96.0;43.214.009;-3.135.223
11/11/2026;San Martín;San Martín Eguna;Zamudio  ;Zamudio  ;Bizkaia;905.0;43.283.333;-2.866.667
10/08/2026;Fiesta local;Tokiko jai-eguna;Zaratamo  ;Zaratamo  ;Bizkaia;97.0;43.211.505;-2.873.626
15/05/2026;San Isidro;San Isidro Eguna;Zeanuri  ;Zeanuri  ;Bizkaia;24.0;43.099.664;-2.749.615
02/09/2026;San Antolín;San Antolin;Zeberio  ;Zeberio  ;Bizkaia;25.0;43.152.778;-2.852.778
15/10/2026;Día de la Independencia de Ziérbena;Zierbenako Independentziaren Eguna;Zierbena  ;Zierbena  ;Bizkaia;913.0;43.347.655;-3.086.152
24/06/2026;San Juan;San Juan Eguna;Ziortza-Bolibar  ;Ziortza-Bolibar  ;Bizkaia;915.0;4.324.982;-2.550.174
24/06/2026;San Juan;San Juan;Abaltzisketa  ;Abaltzisketa  ;Gipuzkoa;1.0;43.047.582;-2.105.388
14/08/2026;Andra Mari;Andra Mari;Aduna  ;Aduna  ;Gipuzkoa;2.0;43.203.792;-2.050.079
07/08/2026;Fiesta local;Tokiko jai-eguna;Aia  ;Aia  ;Gipuzkoa;16.0;43.236.922;-2.149.008
29/09/2026;San Miguel Arcángel;San Migel Goiaingerua;Aizarnazabal  ;Aizarnazabal  ;Gipuzkoa;3.0;43.255.405;-2.236.461
17/08/2026;Fiesta local;Tokiko jai-eguna;Albiztur  ;Albiztur  ;Gipuzkoa;4.0;43.129.723;-213.718
16/07/2026;Fiesta local;Tokiko jai-eguna;Alegia  ;Alegia  ;Gipuzkoa;5.0;43.100.017;-2.096.273
08/09/2026;Natividad de la Virgen;Ama birjinaren jaiotza;Alkiza  ;Alkiza  ;Gipuzkoa;6.0;43.172.434;-2.109.436
29/09/2026;Fiesta local;Tokiko jai-eguna;Altzaga  ;Altzaga  ;Gipuzkoa;906.0;4.306.449;-2.153.833
16/02/2026;Lunes de Carnaval;Inauterietako astelehena;Altzo  ;Altzo  ;Gipuzkoa;7.0;43.100.072;-2.083.905
24/08/2026;San Bartolomé;Bartolome Deuna;Amezketa  ;Amezketa  ;Gipuzkoa;8.0;43.044.517;-2.083.235
24/06/2026;San Juan;San Juan;Andoain  ;Andoain  ;Gipuzkoa;9.0;4.322.048;-2.021.122
04/06/2026;Corpus Christi;Korpüts eguna;Anoeta  ;Anoeta  ;Gipuzkoa;10.0;43.161.467;-2.070.695
17/07/2026;Fiesta local;Tokiko jai-eguna;Antzuola  ;Antzuola  ;Gipuzkoa;11.0;43.099.441;-2.381.747
11/11/2026;Fiesta local;Tokiko jai-eguna;Arama  ;Arama  ;Gipuzkoa;12.0;43.063.637;-2.165.558
14/08/2026;Fiesta local;Tokiko jai-eguna;Aretxabaleta  ;Aretxabaleta  ;Gipuzkoa;13.0;43.036.248;-2.504.542
24/06/2026;San Juan Bautista;San Juan Batalatzailea;Mondragón  ;Arrasate;Gipuzkoa;55.0;43.066.517;-2.487.562
29/06/2026;San Pedro;San Pedro;Asteasu  ;Asteasu  ;Gipuzkoa;14.0;43.195.198;-2.097.548
24/07/2026;Fiesta local;Tokiko jai-eguna;Astigarraga  ;Astigarraga  ;Gipuzkoa;903.0;43.280.652;-194.756
11/11/2026;San Martín;San Martin;Ataun  ;Ataun ;Gipuzkoa;15.0;4.300.548;-217.662
30/11/2026;San Andrés;San Andres;Azkoitia  ;Azkoitia  ;Gipuzkoa;17.0;43.178.205;-231.164
20/01/2026;San Sebastián;San Sebastian;Azpeitia  ;Azpeitia  ;Gipuzkoa;18.0;431.839;-2.265.466
14/08/2026;Fiesta local;Tokiko jai-eguna;Baliarrain  ;Baliarrain  ;Gipuzkoa;904.0;43.069.306;-2.129.235
18/05/2026;Fiesta local;Tokiko jai-eguna;Beasain  ;Beasain  ;Gipuzkoa;19.0;43.047.076;-2.204.605
29/06/2026;Fiesta local;Tokiko jai-eguna;Beizama  ;Beizama  ;Gipuzkoa;20.0;43.134.191;-2.200.113
24/06/2026;San Juan;San Juan;Belaunza  ;Belauntza  ;Gipuzkoa;21.0;43.135.283;-2.050.705
10/08/2026;San Lorenzo;San Lorentzo;Berastegi  ;Berastegi  ;Gipuzkoa;22.0;43.124.029;-1.979.426
16/09/2026;San Martín Aguirre;San Martin Agirre;Bergara  ;Bergara  ;Gipuzkoa;74.0;43.118.217;-2.413.358
28/08/2026;San Agustín;San Agustin;Berrobi  ;Berrobi  ;Gipuzkoa;23.0;43.145.479;-2.026.374
